lemma,pos,gloss,source
ab,adj,"off, detached (not attached to anything anymore, having come off)",lemma
abend,noun,evening; the time from dusk until midnight,lemma
abendessen,verb,"to sup, to have supper (the evening meal)",lemma
abenteuer,noun,adventure,lemma
aber,adv,"rather; quite; unusually; used with adjectives to express a surprising degree, whether this surprise be real or for effect",lemma
abgeben,verb,"to give up, relinquish, let go, concede, hand over, etc. (power, money, valuable objects, etc.)",lemma
abgelehnt,adj,"rejected, declined",lemma
abgenommen,verb,to take off (to remove something that is attached to something or on top of it),form-of
abgesagt,adj,"postponed; called off, cancelled",lemma
abgeschlossen,adj,"separate, enclosed",lemma
abhalten,verb,"to keep off, away, or out; to hold off",lemma
abholen,verb,"to collect, pick up or fetch someone or something",lemma
abhängig,adj,dependent,lemma
ablehnen,verb,"to decline, refuse, reject, turn down",lemma
abnehmen,verb,to take off (to remove something that is attached to something or on top of it),lemma
abschied,noun,"parting, farewell",lemma
abschluss,noun,exclusion,lemma
absicht,noun,intention,lemma
absichtlich,adj,intentional,lemma
absolut,adj,absolute,lemma
abstand,noun,"distance, interspace, spacing, interval, gap",lemma
abwasch,noun,"washing-up, dishwashing",lemma
abwesenheit,noun,absence (state of being absent),lemma
ach,noun,oh,lemma
acht,noun,the natural number eight,lemma
achten,verb,"to care about, to pay attention to",lemma
achtung,noun,attention,lemma
achtzehn,noun,eighteen (number),lemma
adresse,noun,address,lemma
aff,noun,monkey or ape (male or female or of unspecified sex),form-of
afrika,name,Africa (the continent south of Europe and between the Atlantic and Indian Oceans),lemma
ahnung,noun,"anticipation, inkling",lemma
aktiv,adj,active,lemma
akzent,noun,accent (modulation of the voice),lemma
akzeptieren,verb,"to accept, to approve, to take, to agree to (e.g. a proposal)",lemma
algerien,name,Algeria (a country in North Africa),lemma
algier,name,Algiers (the capital city of Algeria),lemma
alkohol,noun,"alcohol, ethanol (substance)",lemma
all,det,all,lemma
allein,adj,alone,lemma
allerdings,adv,"but, however",lemma
allergisch,adj,allergic,lemma
allgemein,adj,"general (common, basic, usual), universal",lemma
allmählich,adj,gradual,lemma
allzu,adv,all too,lemma
alphabet,noun,alphabet (the set of letters used when writing in a language),lemma
als,conj,"at (approximately) the same moment, when, while, as",lemma
also,adv,"then, thus, so, hence (Used to connect a sentence or clause with previous information.)",lemma
alt,adj,old,lemma
am,noun,acronym of Anwendungsmanagement,lemma
amerika,name,"America, the Americas (a supercontinent consisting of North America, Central America and South America regarded as a whole; in full, the Americas)",lemma
amerikaner,noun,"American (from America, the Americas, the American continent(s))",lemma
amerikanisch,adj,American,lemma
ampel,noun,traffic light,lemma
amt,noun,agency; department; office (state institution responsible for specified concerns),lemma
an,adj,on,lemma
anblick,noun,"view, sight, look",lemma
andere,noun,nominalization of andere: the other / different one (female),lemma
anderem,adj,"other, different",form-of
anderen,adj,"other, different",form-of
anderer,adj,"other, different",lemma
andern,pron,alternative form of anderen,lemma
anders,adv,"different, differently",lemma
anfang,noun,"start, beginning, origin (spatially or temporally)",lemma
anfangen,verb,to begin; to commence,lemma
anfänger,verb,to begin; to commence,form-of
angebot,noun,"offer, proposition",lemma
angefangen,verb,to begin; to commence,form-of
angegriffen,adj,attacked,lemma
angehen,verb,"to concern, regard",lemma
angekommen,verb,to arrive,form-of
angelegenheit,noun,"matter, issue, affair",lemma
angeln,verb,"to angle, to fish (with a fishing rod)",lemma
angelogen,verb,"to lie to, to tell someone a lie, to tell someone lies",form-of
angenehm,adj,"pleasant, pleasing",lemma
angenommen,verb,"to assume, to suppose (as given)",form-of
angerufen,verb,"to call, to ring (by telephone or similar technology)",form-of
angesehen,adj,reputable,lemma
angetan,verb,done,form-of
angewohnheit,noun,"habit, custom",lemma
angezogen,verb,senses related to dressing,form-of
angst,noun,fear; fright; anxiety,lemma
anhalt,noun,indication,lemma
